,subj_idx,response,split_by,rt,trial,feedback,samp,type
39626,1,0.0,0,0.294,54,0.0,0,observed
39627,1,0.0,1,0.402,54,1.0,0,observed
39628,1,0.0,0,0.407,55,0.0,0,observed
39629,1,0.0,1,0.329,55,1.0,0,observed
39630,1,0.0,0,0.636,56,0.0,0,observed
39631,1,0.0,1,0.323,56,0.0,0,observed
39632,1,1.0,0,0.322,57,1.0,0,observed
39633,1,1.0,1,1.052,57,1.0,0,observed
39634,1,1.0,0,0.35,58,1.0,0,observed
39635,1,0.0,1,0.322,58,0.0,0,observed
39636,1,1.0,0,0.458,59,0.0,0,observed
39637,1,0.0,1,1.004,59,1.0,0,observed
39638,1,0.0,0,0.581,60,1.0,0,observed
39639,1,0.0,1,0.352,60,1.0,0,observed
39640,1,0.0,0,0.307,61,0.0,0,observed
39641,1,0.0,1,0.266,61,0.0,0,observed
39642,1,0.0,0,0.432,62,1.0,0,observed
39643,1,1.0,1,0.411,62,1.0,0,observed
39644,1,0.0,0,0.462,63,1.0,0,observed
39645,1,0.0,1,1.196,63,0.0,0,observed
39646,1,0.0,0,0.245,64,1.0,0,observed
39647,1,0.0,1,0.684,64,0.0,0,observed
39648,1,0.0,0,0.494,65,0.0,0,observed
39649,1,1.0,1,0.689,65,1.0,0,observed
39650,1,0.0,0,0.52,66,0.0,0,observed
39651,1,1.0,1,0.374,66,1.0,0,observed
39652,1,1.0,0,0.187,67,1.0,0,observed
39653,1,1.0,1,0.367,67,1.0,0,observed
39654,1,1.0,0,0.478,68,1.0,0,observed
39655,1,1.0,1,0.833,68,1.0,0,observed
39656,1,1.0,0,0.396,69,1.0,0,observed
39657,1,1.0,1,0.549,69,1.0,0,observed
39658,1,1.0,0,0.384,70,0.0,0,observed
39659,1,1.0,1,0.281,70,1.0,0,observed
39660,1,0.0,0,0.302,71,0.0,0,observed
39661,1,1.0,1,0.252,71,1.0,0,observed
39662,1,0.0,0,0.326,72,0.0,0,observed
39663,1,1.0,1,0.42,72,1.0,0,observed
39664,1,1.0,0,0.25,73,1.0,0,observed
39665,1,1.0,1,0.515,73,1.0,0,observed
39666,1,1.0,0,0.307,74,1.0,0,observed
39667,1,1.0,1,0.499,74,1.0,0,observed
39668,1,1.0,0,0.282,75,1.0,0,observed
39669,1,1.0,1,0.277,75,1.0,0,observed
39670,1,0.0,0,1.815,76,0.0,0,observed
39671,1,1.0,1,0.518,76,1.0,0,observed
39672,1,1.0,0,0.604,77,1.0,0,observed
39673,1,1.0,1,0.538,77,1.0,0,observed
39674,1,1.0,0,1.234,78,1.0,0,observed
39675,1,1.0,1,0.386,78,1.0,0,observed
39676,1,1.0,0,0.349,79,1.0,0,observed
39677,1,1.0,1,0.418,79,1.0,0,observed
39678,1,1.0,0,0.356,80,1.0,0,observed
39679,1,1.0,1,0.459,80,1.0,0,observed
39680,1,0.0,0,0.346,81,1.0,0,observed
39681,1,0.0,1,0.334,81,1.0,0,observed
39682,1,0.0,0,0.259,82,1.0,0,observed
39683,1,0.0,1,0.323,82,0.0,0,observed
39684,1,0.0,0,0.442,83,0.0,0,observed
39685,1,1.0,1,0.378,83,1.0,0,observed
39686,1,0.0,0,0.547,84,0.0,0,observed
39687,1,1.0,1,0.625,84,1.0,0,observed
39688,1,0.0,0,0.643,85,1.0,0,observed
39689,1,1.0,1,0.294,85,1.0,0,observed
39690,1,0.0,0,0.372,86,0.0,0,observed
39691,1,1.0,1,0.425,86,0.0,0,observed
39692,1,1.0,0,0.452,87,1.0,0,observed
39693,1,0.0,1,0.404,87,0.0,0,observed
39694,1,1.0,0,0.332,88,1.0,0,observed
39695,1,1.0,1,0.656,88,0.0,0,observed
39696,1,1.0,0,0.326,89,1.0,0,observed
39697,1,0.0,1,0.537,89,0.0,0,observed
39698,1,1.0,0,0.449,90,1.0,0,observed
39699,1,1.0,1,0.407,90,0.0,0,observed
39700,1,1.0,0,0.528,91,0.0,0,observed
39701,1,1.0,1,0.534,91,0.0,0,observed
39702,1,1.0,0,0.32,92,0.0,0,observed
39703,1,1.0,1,0.453,92,0.0,0,observed
39704,1,0.0,0,0.334,93,1.0,0,observed
39705,1,0.0,1,0.376,93,1.0,0,observed
39706,1,0.0,0,0.728,94,0.0,0,observed
39707,1,0.0,1,0.653,94,0.0,0,observed
39708,1,1.0,0,0.461,95,1.0,0,observed
39709,1,0.0,1,0.259,95,1.0,0,observed
39710,1,1.0,0,0.474,96,1.0,0,observed
39711,1,0.0,1,0.328,96,0.0,0,observed
39712,1,1.0,0,0.368,97,1.0,0,observed
39713,1,0.0,1,0.463,97,0.0,0,observed
39714,1,1.0,0,0.595,98,1.0,0,observed
39715,1,1.0,1,0.302,98,1.0,0,observed
39716,1,1.0,0,0.425,99,1.0,0,observed
39717,1,1.0,1,0.466,99,1.0,0,observed
39718,1,1.0,0,0.325,100,0.0,0,observed
39719,1,1.0,1,0.5,100,1.0,0,observed
39720,1,0.0,0,0.806,101,0.0,0,observed
39721,1,1.0,1,0.311,101,0.0,0,observed
39722,1,1.0,0,0.431,102,0.0,0,observed
39723,1,0.0,1,0.669,102,0.0,0,observed
39724,1,1.0,0,0.361,103,1.0,0,observed
39725,1,1.0,1,0.383,103,1.0,0,observed
39726,1,1.0,0,0.682,104,0.0,0,observed
39727,1,1.0,1,0.466,104,1.0,0,observed
39728,1,1.0,0,0.452,105,1.0,0,observed
39729,1,1.0,1,0.503,105,1.0,0,observed
39730,1,1.0,0,0.491,106,0.0,0,observed
39731,1,1.0,1,0.684,106,1.0,0,observed
39732,1,1.0,0,0.477,107,1.0,0,observed
39733,1,1.0,1,0.386,107,1.0,0,observed
39734,1,1.0,0,0.493,108,1.0,0,observed
39735,1,1.0,1,0.384,108,0.0,0,observed
39736,1,1.0,0,0.733,109,0.0,0,observed
39737,1,1.0,1,0.282,109,1.0,0,observed
39738,1,1.0,0,1.243,110,1.0,0,observed
39739,1,1.0,1,0.535,110,1.0,0,observed
39740,1,1.0,0,0.302,111,1.0,0,observed
39741,1,1.0,1,0.271,111,1.0,0,observed
39742,1,1.0,0,0.438,112,0.0,0,observed
39743,1,1.0,1,0.362,112,1.0,0,observed
39744,1,0.0,0,0.357,113,0.0,0,observed
39745,1,1.0,1,0.288,113,1.0,0,observed
39746,1,0.0,0,0.394,114,0.0,0,observed
39747,1,1.0,1,0.346,114,1.0,0,observed
39748,1,1.0,0,0.385,115,1.0,0,observed
39749,1,1.0,1,0.602,115,1.0,0,observed
39750,1,1.0,0,0.421,116,1.0,0,observed
39751,1,1.0,1,0.513,116,0.0,0,observed
39752,1,1.0,0,0.316,117,1.0,0,observed
39753,1,1.0,1,0.355,117,0.0,0,observed
39754,1,1.0,0,0.323,118,1.0,0,observed
39755,1,1.0,1,0.304,118,1.0,0,observed
39756,1,1.0,0,0.467,119,1.0,0,observed
39757,1,1.0,1,0.383,119,1.0,0,observed
39758,1,1.0,0,0.378,120,1.0,0,observed
39759,1,1.0,1,0.295,120,1.0,0,observed
39760,1,0.0,0,0.45,121,0.0,0,observed
39761,1,0.0,1,0.37,121,0.0,0,observed
39762,1,0.0,0,0.275,122,0.0,0,observed
39763,1,0.0,1,0.293,122,1.0,0,observed
39764,1,0.0,0,0.36,123,1.0,0,observed
39765,1,0.0,1,0.327,123,0.0,0,observed
39766,1,0.0,0,0.351,124,1.0,0,observed
39767,1,0.0,1,0.302,124,1.0,0,observed
39768,1,0.0,0,0.356,125,1.0,0,observed
39769,1,0.0,1,0.448,125,0.0,0,observed
39770,1,0.0,0,0.287,126,1.0,0,observed
39771,1,0.0,1,0.241,126,0.0,0,observed
39772,1,0.0,0,0.296,127,0.0,0,observed
39773,1,1.0,1,0.584,127,1.0,0,observed
39774,1,0.0,0,0.334,128,0.0,0,observed
39775,1,1.0,1,0.349,128,1.0,0,observed
39776,1,0.0,0,0.239,129,1.0,0,observed
39777,1,1.0,1,0.564,129,1.0,0,observed
39778,1,0.0,0,0.47,130,1.0,0,observed
39779,1,1.0,1,0.397,130,1.0,0,observed
39780,1,0.0,0,0.451,131,1.0,0,observed
39781,1,1.0,1,0.495,131,0.0,0,observed
39782,1,0.0,0,0.342,132,0.0,0,observed
39783,1,1.0,1,0.527,132,0.0,0,observed
39784,1,0.0,0,0.275,133,1.0,0,observed
39785,1,1.0,1,0.484,133,1.0,0,observed
39786,1,0.0,0,0.387,134,1.0,0,observed
39787,1,1.0,1,0.533,134,0.0,0,observed
39788,1,0.0,0,0.314,135,0.0,0,observed
39789,1,1.0,1,0.492,135,0.0,0,observed
39790,1,0.0,0,0.281,136,0.0,0,observed
39791,1,0.0,1,0.283,136,1.0,0,observed
39792,1,0.0,0,0.303,137,0.0,0,observed
39793,1,0.0,1,0.401,137,0.0,0,observed
39794,1,0.0,0,0.326,138,0.0,0,observed
39795,1,0.0,1,0.382,138,1.0,0,observed
39796,1,0.0,0,0.264,139,0.0,0,observed
39797,1,0.0,1,0.472,139,1.0,0,observed
39798,1,1.0,0,0.319,140,1.0,0,observed
39799,1,0.0,1,0.336,140,1.0,0,observed
39800,1,1.0,0,0.258,141,1.0,0,observed
39801,1,0.0,1,0.595,141,0.0,0,observed
39802,1,1.0,0,0.434,142,1.0,0,observed
39803,1,0.0,1,0.289,142,0.0,0,observed
39804,1,1.0,0,0.556,143,1.0,0,observed
39805,1,0.0,1,0.333,143,0.0,0,observed
39806,1,1.0,0,0.6,144,1.0,0,observed
39807,1,1.0,1,0.305,144,0.0,0,observed
39808,1,1.0,0,0.276,145,0.0,0,observed
39809,1,1.0,1,0.266,145,1.0,0,observed
39810,1,1.0,0,0.342,146,1.0,0,observed
39811,1,1.0,1,0.258,146,1.0,0,observed
39812,1,1.0,0,0.546,147,1.0,0,observed
39813,1,1.0,1,0.445,147,1.0,0,observed
39814,1,1.0,0,0.456,148,1.0,0,observed
39815,1,1.0,1,0.497,148,0.0,0,observed
39816,1,1.0,0,0.496,149,0.0,0,observed
39817,1,1.0,1,0.309,149,1.0,0,observed
39818,1,1.0,0,0.412,150,1.0,0,observed
39819,1,1.0,1,0.955,150,1.0,0,observed
39820,1,1.0,0,0.312,151,1.0,0,observed
39821,1,1.0,1,0.89,151,1.0,0,observed
39822,1,1.0,0,0.395,152,0.0,0,observed
39823,1,1.0,1,1.858,152,1.0,0,observed
39824,1,1.0,0,0.486,153,1.0,0,observed
39825,1,1.0,1,0.366,153,1.0,0,observed
39826,1,1.0,0,0.585,154,1.0,0,observed
39827,1,1.0,1,1.337,154,1.0,0,observed
39828,1,1.0,0,0.329,155,1.0,0,observed
39829,1,1.0,1,0.525,155,1.0,0,observed
39830,1,1.0,0,0.374,156,1.0,0,observed
39831,1,0.0,1,0.708,156,0.0,0,observed
39832,1,1.0,0,0.401,157,1.0,0,observed
39833,1,1.0,1,2.376,157,1.0,0,observed
39834,1,1.0,0,0.464,158,1.0,0,observed
39835,1,1.0,1,0.269,158,1.0,0,observed
39836,1,1.0,0,0.425,159,1.0,0,observed
39837,1,0.0,1,0.934,159,0.0,0,observed
39838,1,1.0,0,0.373,160,1.0,0,observed
39839,1,1.0,1,0.449,160,1.0,0,observed
57120,2,0.0,0,0.338,1,0.0,0,observed
57121,2,0.0,1,1.139,1,0.0,0,observed
57122,2,1.0,0,1.037,2,1.0,0,observed
57123,2,0.0,1,1.175,2,0.0,0,observed
57124,2,1.0,0,1.15,3,1.0,0,observed
57125,2,1.0,1,0.378,3,0.0,0,observed
57126,2,1.0,0,0.324,4,0.0,0,observed
57127,2,1.0,1,0.939,4,1.0,0,observed
57128,2,0.0,0,0.403,5,1.0,0,observed
57129,2,1.0,1,0.653,5,0.0,0,observed
57130,2,1.0,0,1.821,6,0.0,0,observed
57131,2,0.0,1,0.591,6,0.0,0,observed
57132,2,0.0,0,1.306,7,0.0,0,observed
57133,2,1.0,1,0.727,7,0.0,0,observed
57134,2,1.0,0,1.755,8,0.0,0,observed
57135,2,1.0,1,0.366,8,0.0,0,observed
57136,2,1.0,0,0.389,9,1.0,0,observed
57137,2,0.0,1,0.404,9,0.0,0,observed
57138,2,0.0,0,1.177,10,1.0,0,observed
57139,2,0.0,1,1.479,10,1.0,0,observed
57140,2,1.0,0,0.99,11,1.0,0,observed
57141,2,0.0,1,0.479,11,0.0,0,observed
57142,2,0.0,0,1.053,12,1.0,0,observed
57143,2,0.0,1,1.541,12,0.0,0,observed
