,bin_trial,split_by,type,samp,subj_idx,response,rt,trial,feedback,upper_hpd,lower_hpd,up_err,low_err,model
23,5,1,simulated,1.0,7.0,0.5384615384615384,0.5794546972490786,20.5,0.4807692307692308,0.5384615384615384,0.5384615384615384,0.0,0.0,RLDDM_single_learning
24,6,0,observed,0.0,140.4607142857143,0.4107142857142857,0.6815464285714286,24.0,0.5380952380952381,0.4107142857142857,0.4107142857142857,0.0,0.0,RLDDM_single_learning
25,6,0,simulated,1.0,7.0,0.5128205128205128,0.549038030582299,24.0,0.5128205128205128,0.5128205128205128,0.5128205128205128,0.0,0.0,RLDDM_single_learning
26,6,1,observed,0.0,149.26235741444867,0.3485424588086185,0.5912889733840304,24.0,0.5487959442332065,0.3485424588086185,0.3485424588086185,0.0,0.0,RLDDM_single_learning
27,6,1,simulated,1.0,7.0,0.6153846153846154,0.5081662357109016,24.0,0.46153846153846156,0.6153846153846154,0.6153846153846154,0.0,0.0,RLDDM_single_learning
28,7,0,observed,0.0,140.4607142857143,0.36160714285714285,0.67275625,27.5,0.5633928571428571,0.36160714285714285,0.36160714285714285,0.0,0.0,RLDDM_single_learning
29,7,0,simulated,1.0,7.0,0.5961538461538461,0.585781620326235,27.5,0.5,0.5961538461538461,0.5961538461538461,0.0,0.0,RLDDM_single_learning
30,7,1,observed,0.0,149.26235741444867,0.34790874524714827,0.5614458174904943,27.5,0.5950570342205324,0.34790874524714827,0.34790874524714827,0.0,0.0,RLDDM_single_learning
31,7,1,simulated,1.0,7.0,0.6923076923076923,0.7279931587882064,27.5,0.6153846153846154,0.6923076923076923,0.6923076923076923,0.0,0.0,RLDDM_single_learning
32,8,0,observed,0.0,140.4607142857143,0.3547619047619048,0.6418785714285714,31.0,0.6166666666666667,0.3547619047619048,0.3547619047619048,0.0,0.0,RLDDM_single_learning
33,8,0,simulated,1.0,7.0,0.6666666666666666,0.5206277741726497,31.0,0.5384615384615384,0.6666666666666666,0.6666666666666666,0.0,0.0,RLDDM_single_learning
34,8,1,observed,0.0,149.26235741444867,0.29404309252217997,0.5546907477820026,31.0,0.5944233206590621,0.29404309252217997,0.29404309252217997,0.0,0.0,RLDDM_single_learning
35,8,1,simulated,1.0,7.0,0.5128205128205128,0.5861405946848756,31.0,0.4358974358974359,0.5128205128205128,0.5128205128205128,0.0,0.0,RLDDM_single_learning
36,9,0,observed,0.0,140.4607142857143,0.31339285714285714,0.6186401785714285,34.5,0.6419642857142858,0.31339285714285714,0.31339285714285714,0.0,0.0,RLDDM_single_learning
37,9,0,simulated,1.0,7.0,0.6730769230769231,0.6657816203265701,34.5,0.5384615384615384,0.6730769230769231,0.6730769230769231,0.0,0.0,RLDDM_single_learning
38,9,1,observed,0.0,149.26235741444867,0.3108365019011407,0.5609572243346007,34.5,0.5950570342205324,0.3108365019011407,0.3108365019011407,0.0,0.0,RLDDM_single_learning
39,9,1,simulated,1.0,7.0,0.46153846153846156,0.5783200818641546,34.5,0.5,0.46153846153846156,0.46153846153846156,0.0,0.0,RLDDM_single_learning
40,10,0,observed,0.0,140.4607142857143,0.2714285714285714,0.5807133928571429,38.5,0.6598214285714286,0.2714285714285714,0.2714285714285714,0.0,0.0,RLDDM_single_learning
41,10,0,simulated,1.0,7.0,0.5192307692307693,0.5863008510951577,38.5,0.5192307692307693,0.5192307692307693,0.5192307692307693,0.0,0.0,RLDDM_single_learning
42,10,1,observed,0.0,149.26235741444867,0.2652091254752852,0.5360579847908745,38.5,0.688212927756654,0.2652091254752852,0.2652091254752852,0.0,0.0,RLDDM_single_learning
43,10,1,simulated,1.0,7.0,0.5769230769230769,0.6499739280184872,38.5,0.5576923076923077,0.5769230769230769,0.5769230769230769,0.0,0.0,RLDDM_single_learning
