params                          mean       std       2.5q       25q       50q       75q      97.5q    mc_err
a(AN.food)                      1.442126  0.039944   1.362797  1.415049  1.442569  1.468798   1.521845  0.000443
a(AN.neutral)                   1.273304  0.039517   1.195572  1.247107  1.273442  1.299944    1.35007  0.000419
a(HC.food)                      1.314466  0.034553   1.245745   1.29142   1.31427  1.337782    1.38252  0.000388
a(HC.neutral)                   1.222156  0.033504   1.155204   1.20002  1.221891  1.245019   1.287461  0.000401
a(RI.food)                      1.316264  0.039083   1.239556  1.290122  1.316626  1.342447   1.392733  0.000418
a(RI.neutral)                   1.245196  0.041076   1.163901  1.217157  1.245006  1.272768   1.325373   0.00047
a_std                           0.228036  0.012144   0.205445  0.219589   0.22775  0.235801   0.253194   0.00017
a_subj(AN.food).1               1.270092  0.056428    1.16255   1.23171   1.26912  1.307469   1.382828  0.001018
a_subj(AN.food).4               1.352607  0.055805   1.250886  1.313973  1.349785  1.388837   1.468357  0.000925
a_subj(AN.food).5               1.540525   0.05799   1.431675  1.500144  1.539042  1.578715   1.657906  0.000855
a_subj(AN.food).7               1.145499  0.047897    1.05424  1.112814  1.144454  1.176366   1.243958  0.000718
a_subj(AN.food).8               1.638459  0.062494   1.521132  1.595847  1.636279  1.679913   1.766061  0.000879
a_subj(AN.food).9               1.524249  0.064795   1.404571  1.479896  1.521967  1.566499   1.658424  0.000982
a_subj(AN.food).10              1.408307  0.053349   1.306672  1.371994  1.407471  1.443267   1.514898  0.000737
a_subj(AN.food).12              1.673935  0.067634    1.55067  1.627254  1.670762  1.717394   1.814482  0.000943
a_subj(AN.food).13              1.391749  0.055819   1.288655  1.353461  1.390361  1.428053   1.505188  0.000775
a_subj(AN.food).14              1.406535  0.064027   1.281694  1.363043   1.40731  1.449523   1.530433  0.001026
a_subj(AN.food).15              1.274758  0.064796    1.15454  1.229199  1.272512  1.317338   1.410081  0.001143
a_subj(AN.food).16               1.31299  0.068342   1.184835  1.266563  1.309964  1.356802    1.45579  0.001119
a_subj(AN.food).17              1.232555  0.048316   1.142921  1.198768  1.231491  1.264498   1.330721  0.000615
a_subj(AN.food).19               1.59608  0.062801   1.477125  1.553482  1.594566  1.637275    1.72451  0.000946
a_subj(AN.food).21              1.295355  0.050974   1.197435    1.2613  1.294342  1.329241   1.399161  0.000747
a_subj(AN.food).22              1.633887  0.066612   1.510604  1.588936  1.631048  1.675997   1.773028  0.001032
a_subj(AN.food).23              1.315601  0.049072    1.22166  1.281223  1.314272  1.348852   1.412503  0.000623
a_subj(AN.food).24              1.602241  0.070303   1.472571  1.553385  1.599647  1.649222   1.745605  0.001121
a_subj(AN.food).25              1.389867  0.070106   1.247029  1.344287  1.391808  1.438089   1.523463  0.001425
a_subj(AN.food).26              1.454754  0.057891   1.342716  1.415575  1.453994  1.492695   1.571504  0.000872
a_subj(AN.food).27              1.471847  0.064915   1.349204  1.427258  1.470373  1.514118    1.60276  0.000949
a_subj(AN.food).28              1.624739   0.06388   1.506938  1.580162  1.622814  1.666244   1.758477  0.001024
a_subj(AN.food).30              1.612398  0.072774   1.474348  1.563775  1.610498  1.660317   1.759344  0.001056
a_subj(AN.food).31              1.022574   0.05283   0.922643   0.98687  1.020814   1.05813   1.130251  0.001104
a_subj(AN.food).32              1.098322  0.062573   0.983995  1.054775  1.095118  1.138737   1.228946  0.001281
a_subj(AN.food).35               1.69231  0.068469   1.562381  1.644939  1.691591  1.737342   1.833517  0.000856
a_subj(AN.food).36               1.00559  0.052297   0.904886  0.969459  1.004931   1.04165   1.109627  0.001006
a_subj(AN.food).37              1.247549  0.057585   1.138932  1.208549  1.245651  1.285326   1.366974  0.000905
a_subj(AN.food).38              1.396144  0.056834   1.289209  1.356312  1.395315  1.434273   1.508962  0.000737
a_subj(AN.food).40              2.181786  0.195461   1.836411  2.045139  2.167872  2.301959   2.606008  0.005983
a_subj(AN.food).41              1.701632  0.064933   1.578004  1.657162  1.700383  1.744694   1.832421  0.000839
a_subj(AN.food).42              1.508408  0.056779   1.399405  1.469542  1.507852  1.546917   1.620052  0.000806
a_subj(AN.food).44              1.466636   0.05927   1.355184  1.425834  1.465576  1.505678   1.589385  0.000795
a_subj(AN.food).45              1.708681  0.060374   1.592779   1.66855  1.706648  1.748407   1.830798   0.00079
a_subj(AN.neutral).1            1.131988  0.046453   1.044617  1.100357  1.130926  1.162542   1.225483  0.000813
a_subj(AN.neutral).4            1.135893  0.047553    1.04748    1.1028  1.133993   1.16722   1.233501  0.000739
a_subj(AN.neutral).5            1.449154  0.054791   1.342649  1.412059  1.447782  1.485008   1.560175  0.000739
a_subj(AN.neutral).7             1.24243  0.048556   1.153135  1.208714  1.240467  1.273719   1.342664  0.000734
a_subj(AN.neutral).8            1.116258  0.061104   1.004596  1.074272  1.113345   1.15543   1.244806  0.000935
a_subj(AN.neutral).9            1.333949  0.061504    1.21894  1.291074    1.3326  1.374858   1.459345  0.001109
a_subj(AN.neutral).10           1.626052  0.067495   1.497876  1.580189  1.623623  1.670498   1.763877  0.000842
a_subj(AN.neutral).12           1.699569  0.069479   1.568219   1.65221  1.697043  1.745031   1.840555  0.001035
a_subj(AN.neutral).13           1.415687  0.071987   1.284051    1.3641  1.413612  1.465283    1.55854  0.001444
a_subj(AN.neutral).14            0.92651  0.037529   0.854738  0.900512  0.925089  0.951469   1.003129  0.000576
a_subj(AN.neutral).15           1.341045  0.058966   1.231698  1.300397  1.339473  1.379546   1.460486  0.000916
a_subj(AN.neutral).16            1.08202  0.054476   0.981079  1.045248  1.079926  1.116814   1.193627   0.00084
a_subj(AN.neutral).17           1.227697  0.051336    1.13129  1.192157  1.226135  1.261263   1.333018  0.000777
a_subj(AN.neutral).19           1.289921  0.052868    1.18909  1.254172  1.288253  1.324739   1.397428  0.000747
a_subj(AN.neutral).22           1.317911   0.05276   1.217669  1.281549  1.316701  1.353376   1.425157  0.000705
a_subj(AN.neutral).23           1.242883  0.048711   1.150507  1.209722  1.241196  1.275197   1.340996  0.000659
a_subj(AN.neutral).24           1.265769  0.052543   1.167846  1.229254  1.264067  1.300497   1.373288  0.000716
a_subj(AN.neutral).25           1.404272  0.060735   1.291675  1.362212  1.403147  1.444575   1.526924   0.00078
a_subj(AN.neutral).26           1.189517  0.057605   1.081274  1.149351  1.188146  1.228135     1.3068  0.000875
a_subj(AN.neutral).28           1.542265   0.05838   1.432738  1.502475  1.541234  1.579994   1.664232  0.000836
a_subj(AN.neutral).30           1.378462  0.062747   1.257616  1.335605  1.377342  1.421844   1.501584  0.001054
a_subj(AN.neutral).31           1.199723  0.049166   1.106658  1.166488  1.198802  1.231939   1.299676  0.000698
a_subj(AN.neutral).32           0.836434  0.051229   0.748853  0.801539   0.83235   0.86502   0.954586  0.001314
a_subj(AN.neutral).35           1.268982  0.057988   1.158255  1.229387  1.267111  1.307028   1.385304  0.000815
a_subj(AN.neutral).36           0.856942   0.03715     0.7877  0.831267   0.85587  0.882001   0.932001  0.000615
a_subj(AN.neutral).37           1.261602  0.068716   1.137207  1.212902  1.256781  1.308005   1.408001  0.001594
a_subj(AN.neutral).38           1.361674  0.054482   1.258513  1.324713  1.360722  1.398527   1.470398  0.000759
a_subj(AN.neutral).40           1.051582  0.047139   0.964226  1.019179  1.049685  1.082315   1.148702  0.000682
a_subj(AN.neutral).41           1.604678  0.057683   1.496146  1.564653  1.604078  1.642273   1.720707  0.000749
a_subj(AN.neutral).42           1.444059   0.05473   1.340699  1.406527  1.442578  1.479913   1.554616  0.000588
a_subj(AN.neutral).45           1.267832  0.058496   1.159201  1.227882  1.265093  1.306038   1.387731  0.000819
a_subj(AN.neutral).115          1.015987  0.042365   0.936036  0.987328  1.014779  1.043419   1.101935  0.000657
a_subj(AN.neutral).116          1.400852  0.052961   1.301257  1.364009  1.399388  1.436052   1.508262   0.00067
a_subj(HC.food).47              1.280988  0.050313   1.187899  1.246522  1.279484  1.313097   1.386228  0.000658
a_subj(HC.food).48              0.978192  0.043913    0.89511  0.947609  0.976756  1.007559   1.067532  0.000682
a_subj(HC.food).50              1.244661  0.049765   1.151512  1.210305  1.242449  1.277273   1.347303  0.000705
a_subj(HC.food).51              1.652042  0.066382   1.527939   1.60603  1.650992  1.695342   1.788989  0.000861
a_subj(HC.food).52              1.386479  0.054175   1.283918  1.349085  1.385814  1.422192   1.497551  0.000742
a_subj(HC.food).54              1.713373  0.062113     1.5973   1.67098  1.711675  1.753781   1.841423  0.000827
a_subj(HC.food).56              1.035427  0.046889   0.949141  1.002853  1.033865  1.066046   1.132237  0.000671
a_subj(HC.food).60              1.284769  0.057267   1.178558  1.245515  1.282515   1.32186   1.405156  0.000896
a_subj(HC.food).61              1.780497  0.084412   1.624397  1.721566  1.777418  1.835922   1.954453  0.001452
a_subj(HC.food).62               1.08463  0.058957   0.974125  1.043702  1.083215  1.122928   1.205251  0.001051
a_subj(HC.food).64              1.429679  0.060309   1.313606  1.388372  1.429094  1.470011   1.547687  0.000971
a_subj(HC.food).66              1.374511  0.059606   1.263208  1.333154  1.372614  1.413679   1.497565  0.000878
a_subj(HC.food).67              1.667628  0.063575    1.54899   1.62419  1.665473  1.709752    1.79717  0.000917
a_subj(HC.food).68              1.034486  0.047594   0.945676  1.001582  1.033418  1.065868   1.133362  0.000709
a_subj(HC.food).69              1.198466  0.048013   1.108463  1.164995  1.197689  1.229986   1.295991  0.000747
a_subj(HC.food).70              1.118007  0.051554   1.021558   1.08225  1.115966  1.151606   1.224049  0.000922
a_subj(HC.food).71              1.347045  0.056409   1.240808  1.308434  1.344943  1.383776   1.462986  0.000831
a_subj(HC.food).73              1.317917  0.054932   1.214541  1.280445  1.316194  1.354275    1.42932  0.000817
a_subj(HC.food).75              1.219617  0.059238   1.107931  1.178194  1.218674  1.258831   1.340944  0.000838
a_subj(HC.food).79              1.548226   0.06127   1.430974  1.506874  1.547734  1.588695    1.67144  0.000798
a_subj(HC.food).80              1.314237  0.050985   1.216754  1.279231  1.314205  1.347497   1.416536  0.000701
a_subj(HC.food).81               1.10987  0.057928   0.999386  1.069523  1.108817  1.148023   1.226377  0.000948
a_subj(HC.food).84               1.09552  0.048633   1.005162  1.062543  1.094003    1.1269   1.196948  0.000674
a_subj(HC.food).85              1.246151  0.047496   1.156012  1.213338   1.24511  1.277374    1.34155  0.000669
a_subj(HC.food).87              1.117138  0.048738   1.026559  1.083268  1.115268  1.149613   1.216439  0.000693
a_subj(HC.food).88              1.401638  0.054748   1.299806  1.363393  1.400041  1.438335   1.511049  0.000823
a_subj(HC.food).89              1.321875  0.052357   1.222153  1.286551  1.320443  1.355627   1.430599  0.000691
a_subj(HC.food).90                1.3405  0.054267   1.239489  1.303142   1.33901  1.375961   1.449395  0.000801
a_subj(HC.food).94              1.371276  0.065342   1.244711  1.328233   1.37008  1.414985    1.50131  0.001002
a_subj(HC.food).96              1.349432  0.056721   1.242576  1.310336  1.348263  1.386938   1.465481  0.000756
a_subj(HC.food).97              0.937177  0.050614   0.844743  0.901858   0.93481  0.970224   1.042022  0.000846
a_subj(HC.food).98              1.398659  0.052399   1.298144  1.362832  1.397312   1.43351    1.50414  0.000727
a_subj(HC.food).100             1.506814  0.069157   1.377947   1.46036  1.504507  1.551652   1.650389  0.001179
a_subj(HC.food).101             1.515288  0.057689   1.407269  1.475243   1.51429  1.553478   1.635025  0.000719
a_subj(HC.food).102             1.248678  0.047395   1.161019   1.21594  1.246573  1.279586   1.347997  0.000656
a_subj(HC.food).103             1.080776  0.046914   0.991565  1.049275  1.079361  1.110231   1.177579  0.000653
