params                          mean       std       2.5q       25q       50q       75q      97.5q    mc_err
a_subj(HC.food).104             1.448687  0.057102   1.342333  1.409195  1.446146   1.48582   1.567201  0.000784
a_subj(HC.food).105             1.286053   0.05709   1.174123  1.248325  1.285707  1.323898   1.399858  0.000845
a_subj(HC.food).106             1.161384  0.047529   1.073473  1.128224  1.159792  1.193206   1.257571  0.000758
a_subj(HC.food).107             1.340506   0.06229   1.223921  1.297581  1.339203  1.381338   1.465537  0.001055
a_subj(HC.food).108             1.693889  0.067579   1.564519  1.648822  1.692702  1.737599   1.831836  0.000932
a_subj(HC.food).109             1.482758  0.057016   1.373651  1.443495  1.482985  1.520131   1.594737  0.000809
a_subj(HC.food).110             1.196547  0.048719   1.106822  1.162172  1.195187  1.229405    1.29602  0.000784
a_subj(HC.food).112             0.928305  0.055196   0.818152  0.891487   0.92922  0.965871   1.034008  0.001126
a_subj(HC.food).117             1.395891  0.055192   1.293504  1.358172   1.39451  1.432307   1.509646  0.000734
a_subj(HC.neutral).47            1.12878  0.046057   1.042451  1.097482   1.12749  1.159022   1.222656  0.000691
a_subj(HC.neutral).48           1.137345  0.055227    1.03612  1.099168   1.13663  1.173018   1.251227  0.000775
a_subj(HC.neutral).50           1.680068   0.06973   1.552521  1.631762  1.677474  1.725846    1.82561  0.001103
a_subj(HC.neutral).51           1.201477  0.054397   1.100451  1.164841  1.199658  1.236521   1.314037  0.000875
a_subj(HC.neutral).52           1.271488  0.051143   1.174587  1.236157  1.270496   1.30481   1.376021  0.000692
a_subj(HC.neutral).54           1.465174  0.054601   1.361873   1.42733  1.464373  1.501707   1.574815  0.000742
a_subj(HC.neutral).56           0.906319  0.042317   0.831977  0.877112  0.903197  0.931448   0.999885   0.00077
a_subj(HC.neutral).60           1.217714  0.049929    1.12319    1.1834  1.216261  1.250834   1.320116  0.000623
a_subj(HC.neutral).61           1.269306  0.064614   1.148774  1.224852  1.267535  1.310847   1.403767  0.001161
a_subj(HC.neutral).62           0.936824  0.054664   0.836045  0.898792  0.934407  0.973286   1.049869  0.001047
a_subj(HC.neutral).64           1.482402  0.067084   1.356245  1.437121  1.480487  1.526134   1.620105   0.00102
a_subj(HC.neutral).66           1.046079  0.042362   0.965252   1.01661  1.044775  1.074133   1.132583  0.000645
a_subj(HC.neutral).67           1.669745  0.067417   1.541801  1.624582  1.668984  1.714335   1.804619  0.001086
a_subj(HC.neutral).68           1.150272  0.047474   1.060829    1.1179  1.149461  1.181196   1.247576   0.00063
a_subj(HC.neutral).69           1.208428  0.048795   1.115049  1.175357   1.20723  1.240438   1.306904  0.000682
a_subj(HC.neutral).70           0.906736  0.053147   0.810034  0.868668  0.904609   0.94239   1.015576  0.001331
a_subj(HC.neutral).71           1.439247   0.06467   1.317102  1.394827  1.436895  1.481488   1.571929  0.001022
a_subj(HC.neutral).73           1.388491  0.061863   1.269021  1.345992  1.387643  1.431272   1.509666  0.000946
a_subj(HC.neutral).75           1.081606  0.050392   0.986094  1.047519  1.080579    1.1145   1.184255   0.00084
a_subj(HC.neutral).79            1.38119  0.058961   1.271885  1.341349  1.378263  1.420056   1.504273  0.000869
a_subj(HC.neutral).80           1.164184  0.045652   1.078263  1.132858  1.162863  1.194362   1.257488  0.000669
a_subj(HC.neutral).81           0.976726  0.041436   0.899868  0.948354  0.975212  1.003612     1.0627  0.000665
a_subj(HC.neutral).84           1.131613  0.044707   1.044976  1.101234  1.130877  1.161574   1.221504  0.000677
a_subj(HC.neutral).85           1.324592  0.053168   1.224705  1.287351  1.322425  1.359878   1.432975  0.000719
a_subj(HC.neutral).87           0.977415  0.043423   0.896184  0.947708  0.976314  1.005864   1.066946  0.000656
a_subj(HC.neutral).88           1.090837  0.049132   0.999951  1.056776  1.089266  1.122918   1.192382  0.000724
a_subj(HC.neutral).89           1.067531  0.045029   0.983135  1.036346  1.066665  1.097315   1.158065  0.000595
a_subj(HC.neutral).90           1.273789  0.063575   1.157009   1.22957  1.270929  1.315437   1.405261  0.001116
a_subj(HC.neutral).94           1.473794  0.068672   1.345392  1.427537  1.472335  1.517267   1.614887  0.001078
a_subj(HC.neutral).96           1.182814  0.057305   1.076377  1.143272  1.180342  1.220247   1.300639  0.001035
a_subj(HC.neutral).97           1.032373  0.046458   0.944886  1.001189  1.030693   1.06186   1.126931   0.00066
a_subj(HC.neutral).98           1.035389  0.048273    0.94476  1.002674  1.034228  1.066352     1.1336  0.000807
a_subj(HC.neutral).100          1.705227  0.059857   1.592367  1.664167  1.704282  1.744465   1.826242  0.000861
a_subj(HC.neutral).101          1.129758  0.048757   1.037285  1.095995  1.128758  1.161698   1.227911  0.000798
a_subj(HC.neutral).102          1.077381  0.042903      0.996  1.048231  1.075996  1.105918   1.164527  0.000591
a_subj(HC.neutral).103          1.230071   0.04843   1.137869  1.197243    1.2288  1.261922   1.326772  0.000685
a_subj(HC.neutral).104          1.102561  0.047396   1.009578  1.070462   1.10263  1.133837   1.196221  0.000671
a_subj(HC.neutral).105            1.0805  0.044524   0.997343  1.049319  1.078776  1.110013   1.171216  0.000617
a_subj(HC.neutral).106          1.309686  0.052816   1.206984  1.274498  1.309338  1.343507   1.418944  0.000724
a_subj(HC.neutral).107          1.122177  0.074963   0.982242   1.06574  1.125047  1.177352   1.263963  0.002503
a_subj(HC.neutral).108          1.367538  0.059838   1.259303  1.325567  1.365174   1.40629    1.49128  0.000976
a_subj(HC.neutral).109          1.219415  0.053419   1.118669  1.183487  1.218323  1.253999   1.328356   0.00079
a_subj(HC.neutral).110          1.347949   0.05486   1.242608  1.309807   1.34719  1.384901   1.457102   0.00085
a_subj(HC.neutral).112          0.905182   0.04518   0.820836  0.873915  0.903351  0.935283   0.998536   0.00082
a_subj(HC.neutral).117          1.331937  0.070378   1.210421  1.283893  1.325711  1.373133   1.489354   0.00177
a_subj(RI.food).2               0.929778  0.044311   0.846379  0.899271  0.929164  0.958726   1.019289  0.000654
a_subj(RI.food).3               1.305659  0.057934   1.196976  1.265437  1.303859  1.342988   1.425337    0.0009
a_subj(RI.food).6               1.687106  0.063043   1.568385  1.644154  1.685147  1.729428   1.814739  0.000791
a_subj(RI.food).11              1.828736  0.069154   1.697007  1.780771  1.827234  1.875201   1.968564  0.001078
a_subj(RI.food).18               1.20581  0.047768   1.117257  1.172511   1.20385  1.237374   1.303919  0.000689
a_subj(RI.food).20              1.679657  0.065919   1.554772  1.634966  1.677823  1.723397   1.812191  0.000929
a_subj(RI.food).29              1.460424  0.063589   1.340628  1.417368  1.458555  1.501149   1.590993   0.00097
a_subj(RI.food).33              1.313458  0.059111   1.196258  1.273733   1.31354  1.353955   1.428684  0.000963
a_subj(RI.food).34              0.865517  0.038364   0.794836  0.839101  0.863829  0.890905   0.944202  0.000574
a_subj(RI.food).39              1.401715  0.067856   1.273972  1.355237  1.400141  1.446243   1.539411   0.00106
a_subj(RI.food).43              1.107227  0.051499    1.00887  1.072335   1.10614  1.140388   1.213749  0.000763
a_subj(RI.food).46              0.990115  0.041084   0.914695  0.961495   0.98857  1.016631   1.074566  0.000656
a_subj(RI.food).49              1.452976  0.072941   1.313035  1.404422   1.45226  1.501544   1.597263  0.001272
a_subj(RI.food).53              1.500107  0.057005   1.393362  1.461504  1.498659  1.538272   1.614768  0.000762
a_subj(RI.food).55              1.573199  0.060006   1.457468  1.532822  1.572467  1.612143   1.694379  0.000832
a_subj(RI.food).57              0.962368  0.044394   0.880861  0.931625  0.960499  0.990963   1.054177  0.000737
a_subj(RI.food).58              0.999185  0.040508   0.924323  0.971637  0.998053  1.025047   1.082979   0.00058
a_subj(RI.food).59              1.166242  0.059832   1.056908  1.123858  1.163779  1.205403   1.292207  0.001151
a_subj(RI.food).63              1.278572  0.053287   1.176265  1.242273  1.277563  1.313398   1.385855  0.000755
a_subj(RI.food).65              1.051802  0.042313   0.971621  1.022545  1.051364  1.079845   1.136018  0.000642
a_subj(RI.food).72              0.871753  0.037193   0.801445  0.846341  0.870827  0.896174   0.947785   0.00053
a_subj(RI.food).74              1.854993  0.075686   1.715669  1.801906  1.851534  1.904808   2.013883  0.000948
a_subj(RI.food).76              1.491096  0.075308   1.350187  1.439126  1.489617  1.541403   1.641477  0.001423
a_subj(RI.food).77              1.445035  0.059954   1.333188  1.404148  1.443313  1.484721   1.567047   0.00088
a_subj(RI.food).78              1.596271  0.067675   1.472349  1.549037  1.593185  1.640052   1.737127  0.001156
a_subj(RI.food).82              1.014969  0.039335   0.941974  0.988147  1.013928  1.040666   1.095896  0.000598
a_subj(RI.food).83              1.415023  0.057571   1.306686  1.375797  1.413489  1.452705   1.530977  0.000951
a_subj(RI.food).86              1.304875  0.054317   1.202308  1.267769  1.303891  1.340989   1.414859  0.000855
a_subj(RI.food).91              1.282249  0.057478   1.174312   1.24255  1.280408  1.319479   1.402515  0.000919
a_subj(RI.food).92              1.584142  0.069814   1.455481  1.536289  1.581391  1.630279   1.727043  0.001054
a_subj(RI.food).93              1.520571  0.063647   1.402591  1.476842  1.517737  1.562669    1.64971  0.000998
a_subj(RI.food).95              1.267256   0.05468   1.162598   1.23036  1.266224  1.303706   1.378683  0.000895
a_subj(RI.food).99              1.453312  0.056219   1.347222  1.414998  1.452408  1.490053    1.56686   0.00076
a_subj(RI.food).111             1.478725  0.062182   1.362478  1.435593  1.476857  1.519684   1.603556  0.001074
a_subj(RI.food).113             1.337012  0.059382   1.225993  1.296497  1.334837  1.376009   1.457535  0.000924
a_subj(RI.neutral).2            1.118374  0.042613   1.038323  1.088838  1.117105  1.147194   1.204556  0.000648
a_subj(RI.neutral).3            1.028857   0.05908   0.922622  0.987898  1.025422  1.066494   1.153876  0.001035
a_subj(RI.neutral).6            1.444204  0.061724   1.330918  1.401227  1.441461  1.484692    1.57164  0.000949
a_subj(RI.neutral).11           1.540076  0.064383    1.41794  1.495569  1.537781  1.583107   1.669006  0.000934
a_subj(RI.neutral).18             1.4074  0.053666   1.308294  1.369477  1.406116  1.442552   1.516889  0.000716
a_subj(RI.neutral).20           1.445179  0.057349   1.338053  1.404539  1.444017  1.482964   1.562107  0.000865
a_subj(RI.neutral).29           1.124832  0.056976   1.020448  1.084453   1.12246  1.162323   1.241261  0.001141
a_subj(RI.neutral).33           1.112532  0.044174   1.030045   1.08156  1.111365   1.14268   1.202833  0.000641
a_subj(RI.neutral).34           1.016957  0.041791   0.937783  0.988521  1.016463  1.044845    1.09976  0.000541
a_subj(RI.neutral).39           1.230788  0.059442   1.117219  1.190294  1.229112  1.270143    1.35094  0.000824
a_subj(RI.neutral).43           1.212758  0.057001   1.107459  1.173721   1.21058  1.250493    1.33015  0.000938
a_subj(RI.neutral).46           1.028107  0.050902   0.933113  0.993449  1.026772  1.061054    1.13249  0.000774
a_subj(RI.neutral).49           1.277115  0.054642   1.174987   1.23945  1.275717  1.313284   1.387526  0.000703
a_subj(RI.neutral).55           1.200342  0.046907   1.110794  1.167982  1.199573  1.231225   1.295051  0.000738
a_subj(RI.neutral).57           0.984787  0.039911   0.907728  0.957437  0.984003  1.011534   1.063579  0.000546
a_subj(RI.neutral).58           0.842986  0.034869   0.777093  0.818688  0.842332  0.866449   0.912903  0.000561
a_subj(RI.neutral).59           1.028679  0.044687   0.945013  0.998133  1.026684  1.057818   1.119032   0.00078
a_subj(RI.neutral).63            1.41812  0.061388   1.299959  1.375737  1.417224  1.459004   1.540648  0.001122
a_subj(RI.neutral).65           1.103629  0.044843   1.017255  1.073355  1.102172  1.132547   1.196475  0.000671
a_subj(RI.neutral).72           1.008554  0.046039   0.924499  0.976759   1.00588  1.038633   1.106052  0.000741
a_subj(RI.neutral).78           1.256426  0.055733   1.150594  1.218585  1.254598  1.292507   1.370294  0.000941
a_subj(RI.neutral).82            1.01204  0.053275   0.911896  0.975234  1.010325  1.047747   1.119807  0.000849
a_subj(RI.neutral).83           1.292151  0.050846   1.196081  1.257187  1.290486  1.326493   1.394479  0.000727
a_subj(RI.neutral).86           1.080242  0.058334   0.968617  1.040699  1.078739  1.118529   1.197108  0.001081
a_subj(RI.neutral).91           1.396226  0.104566   1.173295  1.333679  1.413449  1.469475   1.567556  0.004829
a_subj(RI.neutral).92           1.552284  0.066925   1.419556   1.50696  1.552338  1.597398   1.682143  0.000918
a_subj(RI.neutral).93           1.523806  0.075616   1.384558  1.471206  1.522085  1.573344   1.678285    0.0013
a_subj(RI.neutral).95           1.273771  0.051513   1.177387   1.23797  1.272284  1.307523    1.37863  0.000798
a_subj(RI.neutral).99           1.319882  0.064219   1.198443  1.275948  1.318487  1.361957   1.450544    0.0011
a_subj(RI.neutral).111           1.46834  0.061908   1.350051  1.426326  1.466696  1.509296   1.594213  0.000877
a_subj(RI.neutral).113          1.318182    0.0588   1.208607  1.277788  1.316826  1.356296   1.438358  0.000847
a_subj(RI.neutral).114           1.57315  0.064097   1.453764  1.528686  1.571737  1.615085   1.705159  0.000798
v(AN.food)                      1.776541  0.342355   1.117288  1.543011  1.773815  2.003913   2.458791  0.006602
v(AN.neutral)                   1.403369   0.31997   0.779393  1.188342  1.397495  1.620185   2.038678  0.006939
v(HC.food)                      1.790436  0.263031   1.289242  1.611682  1.790223  1.966596   2.304033  0.004368
v(HC.neutral)                    2.15681  0.265428   1.637401  1.980788   2.15894  2.334933   2.681641  0.004956
v(RI.food)                      1.849271  0.307346   1.239177  1.643454  1.848103  2.055007   2.450623  0.006191
v(RI.neutral)                   2.196673  0.322217    1.56711  1.976792  2.196383  2.412139   2.834996   0.00631
v_std                           1.573747  0.098376   1.396222  1.506242  1.568978  1.636988   1.776536  0.002279
v_subj(AN.food).1               0.799608  1.441918  -1.686672 -0.259587  0.650232  1.798217   3.759941  0.026226
v_subj(AN.food).4               1.442681  1.244743  -0.569047  0.509867  1.262556  2.240889   4.213751  0.019048
v_subj(AN.food).5               0.942748   1.12988  -0.905119  0.103385  0.761336  1.650135   3.453971  0.015879
v_subj(AN.food).7               1.756014  1.260853  -0.371717  0.793821  1.723097    2.6094   4.296401  0.022813
v_subj(AN.food).8               0.964921  1.160426  -0.902618  0.133128  0.781487  1.640219   3.602827  0.017413
v_subj(AN.food).9               2.181204  0.508944   1.429502  1.832131  2.105058  2.433969   3.423905  0.013703
v_subj(AN.food).10              1.030521  1.093651  -0.855028  0.242082  0.918906  1.697532   3.453215  0.013436
v_subj(AN.food).12              2.505808  1.099522   0.708769  1.715195  2.446347  3.204468   4.870412  0.034251
v_subj(AN.food).13              1.272633  0.220811    0.86783  1.124173  1.263343  1.410654    1.73931   0.00278
v_subj(AN.food).14              1.362594  0.546525   0.737372  1.030498    1.2279  1.513741   2.895422  0.017825
v_subj(AN.food).15              7.396159  0.905529   5.708363  6.779763  7.360921  7.978438   9.300051  0.017251
v_subj(AN.food).16              2.386562  0.254462   1.910659  2.212315  2.379101  2.547565   2.923946  0.003614
v_subj(AN.food).17              1.772286  1.203826   -0.19707  0.893474  1.695415  2.525757   4.337719  0.017275
v_subj(AN.food).19              1.440103  1.068184  -0.007696  0.593339  1.235416   2.12992   3.861108  0.025974
v_subj(AN.food).21              1.323689  1.099726  -0.458825  0.531596   1.17804  1.983728   3.768594  0.015681
v_subj(AN.food).22              1.321658  0.368648   0.723914   1.07628  1.280463  1.526808   2.114818  0.006182
v_subj(AN.food).23              1.025336  1.272689  -1.033688  0.034268  0.883309  1.869051   3.717537   0.01752
v_subj(AN.food).24              2.779154  0.794424   1.414817  2.206779  2.723547  3.262125   4.495629  0.022617
v_subj(AN.food).25              2.684712  0.557719   1.703942  2.291269  2.650154  3.030274   3.892606  0.010457
v_subj(AN.food).26              1.913498  0.886609    0.63008   1.22993   1.78101   2.44473   3.934775  0.022005
v_subj(AN.food).27              2.242526  0.429792   1.521219  1.941643  2.202363  2.498705   3.202287  0.007895
v_subj(AN.food).28              1.414338  0.874141   0.471357  0.760497  1.132612  1.836752   3.668364   0.03089
v_subj(AN.food).30              3.430615  0.782679   2.057807  2.882896  3.368092  3.915878   5.131201   0.01773
v_subj(AN.food).31               0.98247   1.08209  -0.925251  0.248144  0.854001   1.61484   3.427312  0.013623
v_subj(AN.food).32              -6.44006  0.573913  -7.577986 -6.822478 -6.436052 -6.053113  -5.309562  0.008922
v_subj(AN.food).35              2.995714  0.797213   1.787655  2.431906  2.876404  3.422221   4.850722  0.021762
